"Meryl_Streep,�Leo_Caprio, and�Brad_Pitt",,,,,Column1,movie_title
,,,,,actor_1_name,Avatar 
,,,,,CCH Pounder,Pirates of the Caribbean: At World's End 
,,,,,Johnny Depp,Spectre 
,,,,,Christoph Waltz,The Dark Knight Rises 
,,,,,Tom Hardy,Star Wars: Episode VII - The Force Awakens             
,,,,,Doug Walker,John Carter 
,,,,,Daryl Sabara,Spider-Man 3 
,,,,,J.K. Simmons,Tangled 
,,,,,Brad Garrett,Avengers: Age of Ultron 
,,,,,Chris Hemsworth,Harry Potter and the Half-Blood Prince 
,,,,,Alan Rickman,Batman v Superman: Dawn of Justice 
,,,,,Henry Cavill,Superman Returns 
,,,,,Kevin Spacey,Quantum of Solace 
,,,,,Giancarlo Giannini,Pirates of the Caribbean: Dead Man's Chest 
,,,,,Johnny Depp,The Lone Ranger 
,,,,,Johnny Depp,Man of Steel 
,,,,,Henry Cavill,The Chronicles of Narnia: Prince Caspian 
,,,,,Peter Dinklage,The Avengers 
,,,,,Chris Hemsworth,Pirates of the Caribbean: On Stranger Tides 
,,,,,Johnny Depp,Men in Black 3 
,,,,,Will Smith,The Hobbit: The Battle of the Five Armies 
,,,,,Aidan Turner,The Amazing Spider-Man 
,,,,,Emma Stone,Robin Hood 
,,,,,Mark Addy,The Hobbit: The Desolation of Smaug 
,,,,,Aidan Turner,The Golden Compass 
,,,,,Christopher Lee,King Kong 
,,,,,Naomi Watts,Titanic 
,,,,,Leonardo DiCaprio,Captain America: Civil War 
,,,,,Robert Downey Jr.,Battleship 
,,,,,Liam Neeson,Jurassic World 
,,,,,Bryce Dallas Howard,Skyfall 
,,,,,Albert Finney,Spider-Man 2 
,,,,,J.K. Simmons,Iron Man 3 
,,,,,Robert Downey Jr.,Alice in Wonderland 
,,,,,Johnny Depp,X-Men: The Last Stand 
,,,,,Hugh Jackman,Monsters University 
,,,,,Steve Buscemi,Transformers: Revenge of the Fallen 
,,,,,Glenn Morshower,Transformers: Age of Extinction 
,,,,,Bingbing Li,Oz the Great and Powerful 
,,,,,Tim Holmes,The Amazing Spider-Man 2 
,,,,,Emma Stone,TRON: Legacy 
,,,,,Jeff Bridges,Cars 2 
,,,,,Joe Mantegna,Green Lantern 
,,,,,Ryan Reynolds,Toy Story 3 
,,,,,Tom Hanks,Terminator Salvation 
,,,,,Christian Bale,Furious 7 
,,,,,Jason Statham,World War Z 
,,,,,Peter Capaldi,X-Men: Days of Future Past 
,,,,,Jennifer Lawrence,Star Trek Into Darkness 
,,,,,Benedict Cumberbatch,Jack the Giant Slayer 
,,,,,Eddie Marsan,The Great Gatsby 
,,,,,Leonardo DiCaprio,Prince of Persia: The Sands of Time 
,,,,,Jake Gyllenhaal,Pacific Rim 
,,,,,Charlie Hunnam,Transformers: Dark of the Moon 
,,,,,Glenn Morshower,Indiana Jones and the Kingdom of the Crystal Skull 
,,,,,Harrison Ford,The Good Dinosaur 
,,,,,A.J. Buckley,Brave 
,,,,,Kelly Macdonald,Star Trek Beyond 
,,,,,Sofia Boutella,WALL·E 
,,,,,John Ratzenberger,Rush Hour 3 
,,,,,Tzi Ma,2012 
,,,,,Oliver Platt,A Christmas Carol 
,,,,,Robin Wright,Jupiter Ascending 
,,,,,Channing Tatum,The Legend of Tarzan 
,,,,,Christoph Waltz,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe "
,,,,,Jim Broadbent,X-Men: Apocalypse 
,,,,,Jennifer Lawrence,The Dark Knight 
,,,,,Christian Bale,Up 
,,,,,John Ratzenberger,Monsters vs. Aliens 
,,,,,Amy Poehler,Iron Man 
,,,,,Robert Downey Jr.,Hugo 
,,,,,Chloë Grace Moretz,Wild Wild West 
,,,,,Will Smith,The Mummy: Tomb of the Dragon Emperor 
,,,,,Jet Li,Suicide Squad 
,,,,,Will Smith,Evan Almighty 
,,,,,Jimmy Bennett,Edge of Tomorrow 
,,,,,Tom Cruise,Waterworld 
,,,,,Jeanne Tripplehorn,G.I. Joe: The Rise of Cobra 
,,,,,Joseph Gordon-Levitt,Inside Out 
,,,,,Amy Poehler,The Jungle Book 
,,,,,Scarlett Johansson,Iron Man 2 
,,,,,Robert Downey Jr.,Snow White and the Huntsman 
,,,,,Chris Hemsworth,Maleficent 
,,,,,Angelina Jolie Pitt,Dawn of the Planet of the Apes 
,,,,,Gary Oldman,The Lovers 
,,,,,Tamsin Egerton,47 Ronin 
,,,,,Keanu Reeves,Captain America: The Winter Soldier 
,,,,,Scarlett Johansson,Shrek Forever After 
,,,,,Jon Hamm,Tomorrowland 
,,,,,Judy Greer,Big Hero 6 
,,,,,Damon Wayans Jr.,Wreck-It Ralph 
,,,,,Jack McBrayer,The Polar Express 
,,,,,Tom Hanks,Independence Day: Resurgence 
,,,,,Vivica A. Fox,How to Train Your Dragon 
,,,,,Gerard Butler,Terminator 3: Rise of the Machines 
,,,,,Nick Stahl,Guardians of the Galaxy 
,,,,,Bradley Cooper,Interstellar 
,,,,,Matthew McConaughey,Inception 
,,,,,Leonardo DiCaprio,Godzilla Resurgence 
,,,,,Mark Chinnery,The Hobbit: An Unexpected Journey 
,,,,,Aidan Turner,The Fast and the Furious 
,,,,,Paul Walker,The Curious Case of Benjamin Button 
,,,,,Brad Pitt,X-Men: First Class 
,,,,,Jennifer Lawrence,The Hunger Games: Mockingjay - Part 2 
,,,,,Jennifer Lawrence,The Sorcerer's Apprentice 
,,,,,Nicolas Cage,Poseidon 
,,,,,Jimmy Bennett,Alice Through the Looking Glass 
,,,,,Johnny Depp,Shrek the Third 
,,,,,Justin Timberlake,Warcraft 
,,,,,Dominic Cooper,Terminator Genisys 
,,,,,J.K. Simmons,The Chronicles of Narnia: The Voyage of the Dawn Treader 
,,,,,Bruce Spence,Pearl Harbor 
,,,,,Jennifer Garner,Transformers 
,,,,,Zack Ward,Alexander 
,,,,,Anthony Hopkins,Harry Potter and the Order of the Phoenix 
,,,,,Robert Pattinson,Harry Potter and the Goblet of Fire 
,,,,,Robert Pattinson,Hancock 
,,,,,Will Smith,I Am Legend 
,,,,,Will Smith,Charlie and the Chocolate Factory 
,,,,,Johnny Depp,Ratatouille 
,,,,,Janeane Garofalo,Batman Begins 
,,,,,Christian Bale,Madagascar: Escape 2 Africa 
,,,,,Bernie Mac,Night at the Museum: Battle of the Smithsonian 
,,,,,Robin Williams,X-Men Origins: Wolverine 
,,,,,Hugh Jackman,The Matrix Revolutions 
,,,,,Essie Davis,Frozen 
,,,,,Josh Gad,The Matrix Reloaded 
,,,,,Steve Bastoni,Thor: The Dark World 
,,,,,Chris Hemsworth,Mad Max: Fury Road 
,,,,,Tom Hardy,Angels & Demons 
,,,,,Tom Hanks,Thor 
,,,,,Chris Hemsworth,Bolt 
,,,,,Chloë Grace Moretz,G-Force 
,,,,,Kelli Garner,Wrath of the Titans 
,,,,,Liam Neeson,Dark Shadows 
,,,,,Johnny Depp,Mission: Impossible - Rogue Nation 
,,,,,Tom Cruise,The Wolfman 
,,,,,Anthony Hopkins,The Legend of Tarzan 
,,,,,Christoph Waltz,Bee Movie 
,,,,,Matthew Broderick,Kung Fu Panda 2 
,,,,,Angelina Jolie Pitt,The Last Airbender 
,,,,,Seychelle Gabriel,Mission: Impossible III 
,,,,,Philip Seymour Hoffman,White House Down 
,,,,,Channing Tatum,Mars Needs Moms 
,,,,,Elisabeth Harnois,Flushed Away 
,,,,,Hugh Jackman,Pan 
,,,,,Hugh Jackman,Mr. Peabody & Sherman 
,,,,,Ty Burrell,Troy 
,,,,,Brad Pitt,Madagascar 3: Europe's Most Wanted 
,,,,,Jada Pinkett Smith,Die Another Day 
,,,,,Toby Stephens,Ghostbusters 
,,,,,Ed Begley Jr.,Armageddon 
,,,,,Bruce Willis,Men in Black II 
,,,,,Will Smith,Beowulf 
,,,,,Robin Wright,Kung Fu Panda 3 
,,,,,J.K. Simmons,Mission: Impossible - Ghost Protocol 
,,,,,Tom Cruise,Rise of the Guardians 
,,,,,Hugh Jackman,Fun with Dick and Jane 
,,,,,John Michael Higgins,The Last Samurai 
,,,,,Tom Cruise,Exodus: Gods and Kings 
,,,,,Christian Bale,Star Trek 
,,,,,Chris Hemsworth,Spider-Man 
,,,,,J.K. Simmons,How to Train Your Dragon 2 
,,,,,Gerard Butler,Gods of Egypt 
,,,,,Gerard Butler,Stealth 
,,,,,Sam Shepard,Watchmen 
,,,,,Matt Frewer,Lethal Weapon 4 
,,,,,Jet Li,Hulk 
,,,,,Kevin Rankin,G.I. Joe: Retaliation 
,,,,,Channing Tatum,Sahara 
,,,,,Matthew McConaughey,Final Fantasy: The Spirits Within 
,,,,,Steve Buscemi,Captain America: The First Avenger 
,,,,,Chris Evans,The World Is Not Enough 
,,,,,Colin Salmon,Master and Commander: The Far Side of the World 
,,,,,James D'Arcy,The Twilight Saga: Breaking Dawn - Part 2 
,,,,,Robert Pattinson,Happy Feet 2 
,,,,,Robin Williams,The Incredible Hulk 
,,,,,Ty Burrell,Miami Vice             
,,,,,Don Johnson,The BFG 
,,,,,Mark Rylance,The Revenant 
,,,,,Leonardo DiCaprio,Turbo 
,,,,,Ryan Reynolds,Rango 
,,,,,Johnny Depp,Penguins of Madagascar 
,,,,,Benedict Cumberbatch,The Bourne Ultimatum 
,,,,,Matt Damon,Kung Fu Panda 
,,,,,Angelina Jolie Pitt,Ant-Man 
,,,,,Judy Greer,The Hunger Games: Catching Fire 
,,,,,Jennifer Lawrence,The Twilight Saga: Breaking Dawn - Part 2 
,,,,,Robert Pattinson,Home 
,,,,,Jim Parsons,War of the Worlds 
,,,,,Tom Cruise,Bad Boys II 
,,,,,Will Smith,Puss in Boots 
,,,,,Salma Hayek,Salt 
,,,,,Angelina Jolie Pitt,Noah 
,,,,,Anthony Hopkins,The Adventures of Tintin 
,,,,,Toby Jones,Harry Potter and the Prisoner of Azkaban 
,,,,,Daniel Radcliffe,Australia 
,,,,,Essie Davis,After Earth 
,,,,,Will Smith,Dinosaur 
,,,,,Alfre Woodard,Harry Potter and the Deathly Hallows: Part II 
,,,,,Rupert Grint,Night at the Museum: Secret of the Tomb 
,,,,,Robin Williams,Megamind 
,,,,,J.K. Simmons,Harry Potter and the Sorcerer's Stone 
,,,,,Daniel Radcliffe,R.I.P.D. 
,,,,,Ryan Reynolds,Godzilla Resurgence 
,,,,,Mark Chinnery,Pirates of the Caribbean: The Curse of the Black Pearl 
,,,,,Johnny Depp,Harry Potter and the Deathly Hallows: Part I 
,,,,,Rupert Grint,The Hunger Games: Mockingjay - Part 1 
,,,,,Jennifer Lawrence,The Da Vinci Code 
,,,,,Tom Hanks,Rio 2 
,,,,,Miguel Ferrer,X-Men 2 
,,,,,Hugh Jackman,Fast Five 
,,,,,Paul Walker,Sherlock Holmes: A Game of Shadows 
,,,,,Robert Downey Jr.,Clash of the Titans 
,,,,,Liam Neeson,Total Recall 
,,,,,Ronny Cox,The 13th Warrior 
,,,,,Tony Curran,The Bourne Legacy 
,,,,,Jeremy Renner,Batman & Robin 
,,,,,Michael Gough,How the Grinch Stole Christmas 
,,,,,Clint Howard,The Day After Tomorrow 
,,,,,Jake Gyllenhaal,Mission: Impossible II 
,,,,,Tom Cruise,The Perfect Storm 
,,,,,Karen Allen,Fantastic 4: Rise of the Silver Surfer 
,,,,,Chris Evans,Life of Pi 
,,,,,Suraj Sharma,Ghost Rider 
,,,,,Nicolas Cage,Jason Bourne 
,,,,,Matt Damon,Charlie's Angels: Full Throttle 
,,,,,Demi Moore,Prometheus 
,,,,,Michael Fassbender,Stuart Little 2 
,,,,,Nathan Lane,Elysium 
,,,,,Matt Damon,The Chronicles of Riddick 
,,,,,Vin Diesel,RoboCop 
,,,,,Gary Oldman,Speed Racer 
,,,,,Scott Porter,How Do You Know 
,,,,,Shelley Conn,Knight and Day 
,,,,,Tom Cruise,Oblivion 
,,,,,Morgan Freeman,Star Wars: Episode III - Revenge of the Sith 
,,,,,Natalie Portman,Star Wars: Episode II - Attack of the Clones 
,,,,,Natalie Portman,"Monsters, Inc. "
,,,,,Steve Buscemi,The Wolverine 
,,,,,Hugh Jackman,Star Wars: Episode I - The Phantom Menace 
,,,,,Natalie Portman,The Croods 
,,,,,Ryan Reynolds,Asterix at the Olympic Games 
,,,,,Alain Delon,Windtalkers 
,,,,,Nicolas Cage,The Huntsman: Winter's War 
,,,,,Chris Hemsworth,Teenage Mutant Ninja Turtles 
,,,,,Noel Fisher,Gravity 
,,,,,Phaldut Sharma,Dante's Peak 
,,,,,Jamie Renée Smith,Teenage Mutant Ninja Turtles: Out of the Shadows 
,,,,,Stephen Amell,Fantastic Four 
,,,,,Tim Blake Nelson,Night at the Museum 
,,,,,Robin Williams,San Andreas 
,,,,,Dwayne Johnson,Tomorrow Never Dies 
,,,,,Vincent Schiavelli,The Patriot 
,,,,,Heath Ledger,Ocean's Twelve 
,,,,,Brad Pitt,Mr. & Mrs. Smith 
,,,,,Brad Pitt,Insurgent 
,,,,,Kate Winslet,The Aviator 
,,,,,Leonardo DiCaprio,Gulliver's Travels 
,,,,,James Corden,The Green Hornet 
,,,,,Christoph Waltz,The A-Team             
,,,,,George Peppard,300: Rise of an Empire 
,,,,,Eva Green,The Smurfs 
,,,,,Mahadeo Shivraj,Home on the Range 
,,,,,Steve Buscemi,Allegiant 
,,,,,Naomi Watts,Real Steel 
,,,,,Hugh Jackman,The Smurfs 2 
,,,,,Jacob Tremblay,Speed 2: Cruise Control 
,,,,,Jason Patric,Ender's Game 
,,,,,Harrison Ford,Live Free or Die Hard 
,,,,,Bruce Willis,The Lord of the Rings: The Fellowship of the Ring 
,,,,,Christopher Lee,Around the World in 80 Days 
,,,,,Jim Broadbent,Ali 
,,,,,Will Smith,The Cat in the Hat 
,,,,,Sean Hayes,"I, Robot "
,,,,,Will Smith,Kingdom of Heaven 
,,,,,Liam Neeson,Stuart Little 
,,,,,Chazz Palminteri,The Princess and the Frog 
,,,,,Oprah Winfrey,The Martian 
,,,,,Matt Damon,"10,000 B.C.             "
,,,,,Mathew Buck,The Island 
,,,,,Scarlett Johansson,Town & Country 
,,,,,Del Zamora,Gone in Sixty Seconds 
,,,,,Nicolas Cage,Gladiator 
,,,,,Djimon Hounsou,Minority Report 
,,,,,Tom Cruise,Harry Potter and the Chamber of Secrets 
,,,,,Daniel Radcliffe,Casino Royale 
,,,,,Eva Green,Planet of the Apes 
,,,,,Cary-Hiroyuki Tagawa,Terminator 2: Judgment Day 
,,,,,Joe Morton,Public Enemies 
,,,,,Johnny Depp,American Gangster 
,,,,,Denzel Washington,True Lies 
,,,,,Jamie Lee Curtis,The Taking of Pelham 1 2 3 
,,,,,Denzel Washington,Little Fockers 
,,,,,Robert De Niro,The Other Guys 
,,,,,Dwayne Johnson,Eraser 
,,,,,Vanessa Williams,Django Unchained 
,,,,,Leonardo DiCaprio,The Hunchback of Notre Dame 
,,,,,Demi Moore,The Emperor's New Groove 
,,,,,Eartha Kitt,The Expendables 2 
,,,,,Jason Statham,National Treasure 
,,,,,Nicolas Cage,Eragon 
,,,,,Djimon Hounsou,Where the Wild Things Are 
,,,,,Catherine O'Hara,Pan 
,,,,,Hugh Jackman,Epic 
,,,,,Josh Hutcherson,The Tourist 
,,,,,Johnny Depp,End of Days 
,,,,,CCH Pounder,Blood Diamond 
,,,,,Leonardo DiCaprio,The Wolf of Wall Street 
,,,,,Leonardo DiCaprio,Batman Forever 
,,,,,Michael Gough,Starship Troopers 
,,,,,Jake Busey,Cloud Atlas 
,,,,,Tom Hanks,Legend of the Guardians: The Owls of Ga'Hoole 
,,,,,Abbie Cornish,Catwoman 
,,,,,Frances Conroy,Hercules 
,,,,,Dwayne Johnson,Treasure Planet 
,,,,,Joseph Gordon-Levitt,Land of the Lost 
,,,,,Will Ferrell,The Expendables 3 
,,,,,Jason Statham,Point Break 
,,,,,Ray Winstone,Son of the Mask 
,,,,,Jamie Kennedy,In the Heart of the Sea 
,,,,,Chris Hemsworth,The Adventures of Pluto Nash 
,,,,,Rosario Dawson,Green Zone 
,,,,,Matt Damon,The Peanuts Movie 
,,,,,Francesca Capaldi,The Spanish Prisoner 
,,,,,Ben Gazzara,The Mummy Returns 
,,,,,Dwayne Johnson,Gangs of New York 
,,,,,Leonardo DiCaprio,The Flowers of War 
,,,,,Christian Bale,Surf's Up 
,,,,,Jeff Bridges,The Stepford Wives 
,,,,,Jon Lovitz,Black Hawk Down 
,,,,,Ioan Gruffudd,The Campaign 
,,,,,Will Ferrell,The Fifth Element 
,,,,,Milla Jovovich,Sex and the City 2 
,,,,,Chris Noth,The Road to El Dorado 
,,,,,Frank Welker,Ice Age: Continental Drift 
,,,,,Peter Dinklage,Cinderella 
,,,,,Hayley Atwell,The Lovely Bones 
,,,,,Michael Imperioli,Finding Nemo 
,,,,,Alexander Gould,The Lord of the Rings: The Return of the King 
,,,,,Orlando Bloom,The Lord of the Rings: The Two Towers 
,,,,,Christopher Lee,Seventh Son 
,,,,,Jeff Bridges,Lara Croft: Tomb Raider 
,,,,,Angelina Jolie Pitt,Transcendence 
,,,,,Johnny Depp,Jurassic Park III 
,,,,,Michael Jeter,Rise of the Planet of the Apes 
,,,,,James Franco,The Spiderwick Chronicles 
,,,,,Martin Short,A Good Day to Die Hard 
,,,,,Bruce Willis,The Alamo 
,,,,,Dennis Quaid,The Incredibles 
,,,,,Holly Hunter,Cutthroat Island 
,,,,,Christopher Masterson,Percy Jackson & the Olympians: The Lightning Thief 
,,,,,Logan Lerman,Men in Black 
,,,,,Will Smith,Toy Story 2 
,,,,,Tom Hanks,Unstoppable 
,,,,,Denzel Washington,Rush Hour 2 
,,,,,Mei Melançon,What Lies Beneath 
,,,,,Harrison Ford,Cloudy with a Chance of Meatballs 
,,,,,Will Forte,Ice Age: Dawn of the Dinosaurs 
,,,,,Denis Leary,The Secret Life of Walter Mitty 
,,,,,Adam Scott,Charlie's Angels 
,,,,,Bill Murray,The Departed 
,,,,,Leonardo DiCaprio,Mulan 
,,,,,Ming-Na Wen,Tropic Thunder 
,,,,,Robert Downey Jr.,The Girl with the Dragon Tattoo 
,,,,,Robin Wright,Die Hard with a Vengeance 
,,,,,Bruce Willis,Sherlock Holmes 
,,,,,Robert Downey Jr.,Ben-Hur 
,,,,,Morgan Freeman,Atlantis: The Lost Empire 
,,,,,Leonard Nimoy,Alvin and the Chipmunks: The Road Chip 
,,,,,Bella Thorne,Valkyrie 
,,,,,Tom Cruise,You Don't Mess with the Zohan 
,,,,,Adam Sandler,Pixels 
,,,,,Peter Dinklage,A.I. Artificial Intelligence 
,,,,,Haley Joel Osment,The Haunted Mansion 
,,,,,Marsha Thomason,Contact 
,,,,,Matthew McConaughey,Hollow Man 
,,,,,Greg Grunberg,The Interpreter 
,,,,,Curtiss Cook,Percy Jackson: Sea of Monsters 
,,,,,Logan Lerman,Lara Croft Tomb Raider: The Cradle of Life 
,,,,,Gerard Butler,Now You See Me 2 
,,,,,Daniel Radcliffe,The Saint 
,,,,,Alun Armstrong,Spy Game 
,,,,,Brad Pitt,Mission to Mars 
,,,,,Don Cheadle,Rio 
,,,,,Anne Hathaway,Bicentennial Man 
,,,,,Robin Williams,Volcano 
,,,,,Don Cheadle,The Devil's Own 
,,,,,Harrison Ford,K-19: The Widowmaker 
,,,,,Liam Neeson,Fantastic Four 
,,,,,Tim Blake Nelson,Conan the Barbarian 
,,,,,William Smith,Cinderella Man 
,,,,,Paddy Considine,The Nutcracker in 3D 
,,,,,Shirley Henderson,Seabiscuit 
,,,,,Jeff Bridges,Twister 
,,,,,Philip Seymour Hoffman,The Fast and the Furious 
,,,,,Paul Walker,Cast Away 
,,,,,Tom Hanks,Happy Feet 
,,,,,Robin Williams,The Bourne Supremacy 
,,,,,Matt Damon,Air Force One 
,,,,,Harrison Ford,Ocean's Eleven 
,,,,,Brad Pitt,The Three Musketeers 
,,,,,Milla Jovovich,Hotel Transylvania 
,,,,,Steve Buscemi,Enchanted 
,,,,,Jeff Bennett,Hannibal             
,,,,,Caroline Dhavernas,Safe House 
,,,,,Denzel Washington,102 Dalmatians 
,,,,,Ioan Gruffudd,Tower Heist 
,,,,,Matthew Broderick,The Holiday 
,,,,,Kate Winslet,Enemy of the State 
,,,,,Will Smith,It's Complicated 
,,,,,Meryl Streep,Ocean's Thirteen 
,,,,,Al Pacino,Open Season 
,,,,,Jon Favreau,Divergent 
,,,,,Kate Winslet,Enemy at the Gates 
,,,,,Bob Hoskins,The Rundown 
,,,,,Dwayne Johnson,Last Action Hero 
,,,,,F. Murray Abraham,Memoirs of a Geisha 
,,,,,Li Gong,The Fast and the Furious: Tokyo Drift 
,,,,,Amber Stevens West,Arthur Christmas 
,,,,,Jim Broadbent,Meet Joe Black 
,,,,,Anthony Hopkins,Collateral Damage 
,,,,,Raymond Cruz,All That Jazz 
,,,,,Roy Scheider,Mirror Mirror 
,,,,,Julia Roberts,Scott Pilgrim vs. the World 
,,,,,Anna Kendrick,The Core 
,,,,,Glenn Morshower,Nutty Professor II: The Klumps 
,,,,,Larry Miller,Scooby-Doo 
,,,,,Sarah Michelle Gellar,Dredd 
,,,,,Wood Harris,Click 
,,,,,Adam Sandler,Creepshow 
,,,,,Ted Danson,Cats & Dogs: The Revenge of Kitty Galore 
,,,,,Jack McBrayer,Jumper 
,,,,,Kristen Stewart,Hellboy II: The Golden Army 
,,,,,Seth MacFarlane,Zodiac 
